latitude;longitude;acq_date
-4.2158;123.1275;10/01/2016
-3.7387;121.6003;10/01/2016
-2.1843;121.3122;10/01/2016
-2.1815;121.3188;10/01/2016
-2.5809;121.3851;10/01/2016
-2.5732;121.3748;10/01/2016
-2.5822;121.3761;10/01/2016
-2.5719;121.3839;10/01/2016
-2.5704;121.3785;10/01/2016
-2.5813;121.3868;10/01/2016
-2.5719;121.3883;10/01/2016
1.0408;120.8236;11/01/2016
-2.584;121.3819;11/01/2016
-2.4125;121.208;11/01/2016
-2.6888;121.9332;11/01/2016
-4.4225;122.6534;11/01/2016
-2.5717;121.3832;11/01/2016
-3.7172;121.8551;11/01/2016
-3.9041;122.4027;11/01/2016
-4.1657;122.0072;11/01/2016
-2.5806;121.3839;11/01/2016
-3.2693;120.1788;11/01/2016
-4.1524;121.962;11/01/2016
-2.5239;121.0012;11/01/2016
-2.4951;121.0672;11/01/2016
-2.4795;121.0088;11/01/2016
-1.697;120.6193;11/01/2016
-2.8981;121.5291;11/01/2016
-4.1992;121.7754;11/01/2016
-1.6957;120.6289;11/01/2016
-4.1055;121.8505;11/01/2016
-4.0959;121.8494;11/01/2016
-2.1099;121.454;11/01/2016
-2.1083;121.4651;11/01/2016
-2.1196;121.4552;11/01/2016
-2.1179;121.4664;11/01/2016
-4.1912;121.7634;11/01/2016
-4.2007;121.7647;11/01/2016
-1.8384;121.9901;11/01/2016
-4.0081;121.9763;11/01/2016
-2.7035;121.945;11/01/2016
-0.8485;122.2606;11/01/2016
-2.5678;121.3878;11/01/2016
-2.5771;121.3787;11/01/2016
-3.7153;121.8573;12/01/2016
-2.5752;121.374;12/01/2016
-2.5775;121.37;12/01/2016
-2.5797;121.3851;12/01/2016
1.1547;121.3455;13/01/2016
1.0389;120.8232;13/01/2016
-2.4177;121.2184;13/01/2016
-2.5768;121.3867;13/01/2016
-3.2678;122.217;13/01/2016
-1.8483;121.591;13/01/2016
-1.4926;121.5906;13/01/2016
-3.0019;121.6461;13/01/2016
-3.0036;121.6574;13/01/2016
-3.4023;119.2122;13/01/2016
-4.1633;121.9817;13/01/2016
-4.4041;121.9601;13/01/2016
-5.103;121.8967;13/01/2016
-5.1043;121.8876;13/01/2016
-3.9342;122.4158;13/01/2016
-3.933;122.4247;13/01/2016
-5.0275;122.8118;13/01/2016
-4.6384;123.084;13/01/2016
-4.6397;123.075;13/01/2016
-4.4028;121.969;13/01/2016
-3.9994;121.96;13/01/2016
-4.1588;122.004;13/01/2016
-4.1575;122.013;13/01/2016
-4.214;122.0027;13/01/2016
-4.2732;122.0354;13/01/2016
-3.7194;121.8547;13/01/2016
-3.4795;122.1825;13/01/2016
-2.5818;121.3826;13/01/2016
-1.3849;122.4778;13/01/2016
-1.2758;123.0462;13/01/2016
-2.4875;121.0117;13/01/2016
-3.7838;120.0899;13/01/2016
-3.7853;120.0795;13/01/2016
-1.0344;120.4905;13/01/2016
-1.8661;121.5609;13/01/2016
